equipment_type_id,age_band,rate_per_100
1,1-3,1.14
1,4-7,1.71
1,8-11,1.71
1,12+,2.166
2,1-3,0.5
2,4-7,0.5
2,8-11,0.55
2,12+,0.6
3,1-3,0.5
3,4-7,0.5
3,8-11,0.55
3,12+,0.6
4,1-3,1.14
4,4-7,1.71
4,8-11,1.71
4,12+,2.166
5,1-3,0.72
5,4-7,1.08
5,8-11,1.08
5,12+,1.296
6,1-3,1.64
6,4-7,2.46
6,8-11,2.46
6,12+,2.952
7,1-3,1.0
7,4-7,1.0
7,8-11,1.0
7,12+,1.0
8,1-3,0.62
8,4-7,0.65
8,8-11,0.65
8,12+,0.7
9,1-3,1.64
9,4-7,2.46
9,8-11,2.46
9,12+,2.952
10,1-3,0.52
10,4-7,0.55
10,8-11,0.57
10,12+,0.62
11,1-3,0.62
11,4-7,0.65
11,8-11,0.65
11,12+,0.7
12,1-3,0.5
12,4-7,0.5
12,8-11,0.55
12,12+,0.6
