equipment_type_id,deductible_tier,factor
1,2500,1.0
2,2500,1.0
3,2500,1.0
4,2500,1.02
5,2500,1.0
6,2500,0.0
7,2500,1.0
8,2500,1.0
9,2500,0.0
10,2500,1.0
11,2500,1.0
12,2500,1.0
1,5000,0.98
2,5000,0.98
3,5000,0.98
4,5000,1.0
5,5000,0.98
6,5000,1.0
7,5000,0.98
8,5000,0.98
9,5000,1.0
10,5000,0.98
11,5000,0.98
12,5000,0.98
1,10000,0.96
2,10000,0.96
3,10000,0.96
4,10000,0.98
5,10000,0.96
6,10000,0.98
7,10000,0.96
8,10000,0.96
9,10000,0.98
10,10000,0.96
11,10000,0.96
12,10000,0.96
1,25000,0.94
2,25000,0.94
3,25000,0.92
4,25000,0.96
5,25000,0.94
6,25000,0.96
7,25000,0.92
8,25000,0.92
9,25000,0.96
10,25000,0.92
11,25000,0.92
12,25000,0.92
1,10%ACV,0.88
2,10%ACV,0.88
3,10%ACV,0.88
4,10%ACV,0.92
5,10%ACV,0.88
6,10%ACV,0.92
7,10%ACV,0.88
8,10%ACV,0.88
9,10%ACV,0.92
10,10%ACV,0.88
11,10%ACV,0.88
12,10%ACV,0.88
